cell_type,source_support,target_support,precision,recall,f1,direction,model,seed,label_level,subset
ILC,65,98,0.6111111111111112,0.2244897959183673,0.3283582089552239,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
MAIT,356,24,0.4,0.6666666666666666,0.5,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
NK,760,251,0.8833922261484098,0.99601593625498,0.9363295880149812,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
NK_CD56bright,35,30,0.9565217391304348,0.7333333333333333,0.8301886792452831,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
Treg,241,59,0.7619047619047619,0.2711864406779661,0.4,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
cDC2,135,125,0.975206611570248,0.944,0.959349593495935,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
dnT,76,14,0.1666666666666666,0.0714285714285714,0.1,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
gdT,59,71,0.4772727272727273,0.2957746478873239,0.3652173913043478,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553192,pbmc10k_to_pbmc5k,scvi_matched,0,l2,high_confidence_shared
B intermediate,68,66,0.7619047619047619,0.7272727272727273,0.7441860465116279,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
B memory,99,79,0.8125,0.8227848101265823,0.8176100628930818,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
B naive,315,128,0.9769230769230768,0.9921875,0.9844961240310076,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD14 Mono,1237,937,0.9281437125748504,0.992529348986126,0.959257349149046,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD16 Mono,103,131,0.9912280701754386,0.8625954198473282,0.9224489795918368,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 CTL,24,41,1.0,0.1707317073170731,0.2916666666666667,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 Naive,795,378,0.7873831775700935,0.8915343915343915,0.8362282878411911,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 TCM,580,327,0.6297297297297297,0.7125382262996942,0.6685796269727403,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD4 TEM,281,272,0.6696696696696697,0.8198529411764706,0.7371900826446282,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD8 Naive,320,48,0.7377049180327869,0.9375,0.8256880733944955,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD8 TCM,77,34,0.8,0.2352941176470588,0.3636363636363636,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
CD8 TEM,246,147,0.7844311377245509,0.891156462585034,0.8343949044585988,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
Eryth,144,86,0.5975609756097561,0.5697674418604651,0.5833333333333334,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
ILC,65,98,0.7,0.0714285714285714,0.1296296296296296,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
MAIT,356,24,0.2835820895522388,0.7916666666666666,0.4175824175824176,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
NK,760,251,0.9090909090909092,0.99601593625498,0.9505703422053232,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
NK_CD56bright,35,30,1.0,0.4,0.5714285714285714,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
Treg,241,59,0.8571428571428571,0.2033898305084746,0.3287671232876712,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
cDC2,135,125,1.0,0.856,0.9224137931034484,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
dnT,76,14,0.0,0.0,0.0,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
gdT,59,71,0.3846153846153846,0.0704225352112676,0.119047619047619,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553192,pbmc10k_to_pbmc5k,totalvi,0,l2,high_confidence_shared
B,493,274,1.0,0.9963503649635036,0.9981718464351006,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
CD4 T,1929,1079,0.8907198612315698,0.9518072289156626,0.9202508960573476,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
CD8 T,653,236,0.7391304347826086,0.7923728813559322,0.7648261758691206,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
DC,165,151,0.9793103448275862,0.9403973509933776,0.9594594594594594,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
Mono,1340,1068,0.9531953195319532,0.9915730337078652,0.9720055071133548,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
NK,812,290,0.910828025477707,0.986206896551724,0.9470198675496688,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
other,219,185,0.8307692307692308,0.2918918918918919,0.432,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
other T,491,109,0.6666666666666666,0.4770642201834862,0.5561497326203209,pbmc10k_to_pbmc5k,scvi_matched,0,l1,high_confidence_shared
B,493,274,1.0,1.0,1.0,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
CD4 T,1929,1079,0.9146666666666666,0.953660797034291,0.9337568058076224,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
CD8 T,653,236,0.7954545454545454,0.8898305084745762,0.84,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
DC,165,151,0.9923076923076924,0.8543046357615894,0.9181494661921707,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
Mono,1340,1068,0.9508928571428572,0.9971910112359552,0.973491773308958,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
NK,812,290,0.9273927392739274,0.9689655172413794,0.9477234401349072,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
other,219,185,0.797752808988764,0.3837837837837838,0.5182481751824818,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
other T,491,109,0.6091954022988506,0.4862385321100917,0.5408163265306123,pbmc10k_to_pbmc5k,totalvi,0,l1,high_confidence_shared
B intermediate,66,68,0.5789473684210527,0.6470588235294118,0.6111111111111112,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
B memory,79,99,0.9041095890410958,0.6666666666666666,0.7674418604651163,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
B naive,128,315,0.9397590361445785,0.9904761904761904,0.964451313755796,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD14 Mono,937,1237,0.937116564417178,0.9878738884397736,0.9618260527351437,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD16 Mono,131,103,0.9797979797979798,0.941747572815534,0.9603960396039604,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD4 CTL,41,24,0.0,0.0,0.0,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD4 Naive,378,795,0.7032667876588021,0.9748427672955976,0.8170795993674222,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD4 TCM,327,580,0.7805825242718447,0.6931034482758621,0.7342465753424657,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD4 TEM,272,281,0.4800995024875621,0.6868327402135231,0.5651537335285505,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD8 Naive,48,320,0.8531468531468531,0.38125,0.5269978401727862,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD8 TCM,34,77,0.5,0.0909090909090909,0.1538461538461538,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
CD8 TEM,147,246,0.807843137254902,0.8373983739837398,0.8223552894211577,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
Eryth,86,144,0.8859649122807017,0.7013888888888888,0.7829457364341085,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
ILC,98,65,0.5238095238095238,0.1692307692307692,0.2558139534883721,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
MAIT,24,356,1.0,0.0702247191011236,0.1312335958005249,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
NK,251,760,0.9793014230271668,0.9960526315789474,0.9876060013046314,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
NK_CD56bright,30,35,0.9090909090909092,0.8571428571428571,0.8823529411764706,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
Treg,59,241,0.4539249146757679,0.5518672199170125,0.49812734082397,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
cDC2,125,135,0.9803921568627452,0.7407407407407407,0.8438818565400844,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
gdT,71,59,0.1216730038022813,0.5423728813559322,0.1987577639751552,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
pDC,23,24,0.96,1.0,0.979591836734694,pbmc5k_to_pbmc10k,scvi_matched,0,l2,high_confidence_shared
B intermediate,66,68,0.4,0.0588235294117647,0.1025641025641025,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
B memory,79,99,0.6168831168831169,0.9595959595959596,0.7509881422924901,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
B naive,128,315,0.9559748427672956,0.9650793650793652,0.9605055292259084,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD14 Mono,937,1237,0.943366951124903,0.9830234438156832,0.9627870150435472,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD16 Mono,131,103,0.9523809523809524,0.970873786407767,0.9615384615384616,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD4 CTL,41,24,0.0,0.0,0.0,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD4 Naive,378,795,0.7593908629441625,0.940880503144654,0.8404494382022472,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD4 TCM,327,580,0.66991643454039,0.8293103448275863,0.7411402157164869,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD4 TEM,272,281,0.4094754653130287,0.8612099644128114,0.555045871559633,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD8 Naive,48,320,0.9681528662420382,0.475,0.6373165618448637,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD8 TCM,34,77,0.4117647058823529,0.0909090909090909,0.1489361702127659,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
CD8 TEM,147,246,0.8404669260700389,0.8780487804878049,0.8588469184890656,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
Eryth,86,144,0.8434782608695652,0.6736111111111112,0.749034749034749,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
ILC,98,65,0.6296296296296297,0.2615384615384615,0.3695652173913043,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
MAIT,24,356,1.0,0.0870786516853932,0.1602067183462532,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
NK,251,760,0.9973009446693656,0.9723684210526315,0.9846768820786144,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
NK_CD56bright,30,35,0.8846153846153846,0.6571428571428571,0.7540983606557377,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
Treg,59,241,0.7678571428571429,0.1784232365145228,0.2895622895622896,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
cDC2,125,135,1.0,0.8148148148148148,0.8979591836734694,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
gdT,71,59,0.1287553648068669,0.5084745762711864,0.2054794520547945,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
pDC,23,24,1.0,1.0,1.0,pbmc5k_to_pbmc10k,totalvi,0,l2,high_confidence_shared
B,274,493,0.9959266802443992,0.9918864097363084,0.9939024390243902,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
CD4 T,1079,1929,0.7783717105263158,0.9813374805598756,0.8681495069938088,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
CD8 T,236,653,0.8317152103559871,0.3935681470137825,0.5343035343035343,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
DC,151,165,0.975609756097561,0.7272727272727273,0.8333333333333334,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
Mono,1068,1340,0.9293212036389084,0.991044776119403,0.959191043698086,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
NK,290,812,0.9473684210526316,0.9975369458128078,0.9718056388722256,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
other,185,219,0.7777777777777778,0.4474885844748858,0.5681159420289855,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
other T,109,491,0.8516320474777448,0.5845213849287169,0.6932367149758454,pbmc5k_to_pbmc10k,scvi_matched,0,l1,high_confidence_shared
B,274,493,0.9959349593495936,0.9939148073022313,0.9949238578680204,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
CD4 T,1079,1929,0.8755167661920074,0.9880767236910316,0.928397467121286,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
CD8 T,236,653,0.9197761194029852,0.7549770290964778,0.8292682926829268,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
DC,151,165,0.9923664122137404,0.7878787878787878,0.8783783783783784,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
Mono,1068,1340,0.945868945868946,0.991044776119403,0.967930029154519,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
NK,290,812,0.9898605830164764,0.961822660098522,0.9756402248594628,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
other,185,219,0.8507462686567164,0.5205479452054794,0.6458923512747875,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
other T,109,491,0.8428246013667426,0.7535641547861507,0.7956989247311828,pbmc5k_to_pbmc10k,totalvi,0,l1,high_confidence_shared
B intermediate,68,66,0.6142857142857143,0.6515151515151515,0.6323529411764706,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
B memory,99,79,0.7052631578947368,0.8481012658227848,0.7701149425287356,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
B naive,315,128,0.990909090909091,0.8515625,0.9159663865546218,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD14 Mono,1237,937,0.9515962924819773,0.9861259338313767,0.9685534591194969,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD16 Mono,103,131,1.0,0.9007633587786259,0.9477911646586346,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 CTL,24,41,0.8,0.1951219512195122,0.3137254901960784,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 Naive,795,378,0.8755760368663594,0.5026455026455027,0.6386554621848739,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 TCM,580,327,0.4743362831858407,0.8195718654434251,0.600896860986547,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD4 TEM,281,272,0.7878787878787878,0.6691176470588235,0.7236580516898609,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD8 Naive,320,48,0.6764705882352942,0.9583333333333334,0.7931034482758621,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD8 TCM,77,34,0.43333333333333335,0.38235294117647056,0.40625,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
CD8 TEM,246,147,0.8043478260869565,0.7551020408163265,0.7789473684210526,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
Eryth,144,86,0.625,0.5813953488372093,0.6024096385542169,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
ILC,65,98,0.336734693877551,0.336734693877551,0.336734693877551,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
MAIT,356,24,0.2625,0.875,0.40384615384615385,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
NK,760,251,0.922509225092251,0.9960159362549801,0.9578544061302682,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
NK_CD56bright,35,30,0.9285714285714286,0.8666666666666667,0.896551724137931,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
Treg,241,59,0.7142857142857143,0.1694915254237288,0.273972602739726,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
cDC2,135,125,0.9606299212598425,0.976,0.9682539682539683,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
dnT,76,14,0.13333333333333333,0.14285714285714285,0.13793103448275862,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
gdT,59,71,0.6,0.08450704225352113,0.14814814814814814,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
pDC,24,23,0.9565217391304348,0.9565217391304348,0.9565217391304348,pbmc10k_to_pbmc5k,scvi_matched,1,l2,high_confidence_shared
B intermediate,68,66,0.8085106382978723,0.5757575757575758,0.672566371681416,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
B memory,99,79,0.7741935483870968,0.9113924050632911,0.8372093023255814,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
B naive,315,128,0.9398496240601504,0.9765625,0.9578544061302682,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD14 Mono,1237,937,0.9486125385405961,0.9850586979722519,0.9664921465968587,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD16 Mono,103,131,0.976,0.9312977099236641,0.953125,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 CTL,24,41,0.75,0.21951219512195122,0.33962264150943394,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 Naive,795,378,0.7245508982035929,0.9603174603174603,0.825938566552901,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 TCM,580,327,0.5754189944134078,0.6299694189602446,0.6014598540145986,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD4 TEM,281,272,0.7247386759581882,0.7647058823529411,0.7441860465116279,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD8 Naive,320,48,0.8571428571428571,0.875,0.865979381443299,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD8 TCM,77,34,0.75,0.17647058823529413,0.2857142857142857,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
CD8 TEM,246,147,0.8243243243243243,0.8299319727891157,0.8271186440677966,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
Eryth,144,86,0.5428571428571428,0.6627906976744186,0.5968586387434555,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
ILC,65,98,1.0,0.05102040816326531,0.0970873786407767,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
MAIT,356,24,0.3684210526315789,0.875,0.5185185185185185,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
NK,760,251,0.8992805755395683,0.9960159362549801,0.945179584120983,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
NK_CD56bright,35,30,0.9473684210526315,0.6,0.7346938775510204,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
Treg,241,59,0.9,0.3050847457627119,0.45569620253164556,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
cDC2,135,125,1.0,0.896,0.9451476793248945,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
dnT,76,14,0.0,0.0,0.0,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
gdT,59,71,0.8888888888888888,0.11267605633802817,0.2,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
pDC,24,23,0.9583333333333334,1.0,0.9787234042553191,pbmc10k_to_pbmc5k,totalvi,1,l2,high_confidence_shared
B,493,274,1.0,1.0,1.0,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
CD4 T,1929,1079,0.9039341262580055,0.9156626506024096,0.9097605893186004,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
CD8 T,653,236,0.7480314960629921,0.8050847457627118,0.7755102040816326,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
DC,165,151,0.9733333333333334,0.9668874172185431,0.9700996677740864,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
Mono,1340,1068,0.9626933575978162,0.9906367041198502,0.976465159206276,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
NK,812,290,0.9225806451612903,0.9862068965517241,0.9533333333333334,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
other,219,185,0.7386363636363636,0.35135135135135137,0.47619047619047616,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
other T,491,109,0.4838709677419355,0.5504587155963303,0.5150214592274678,pbmc10k_to_pbmc5k,scvi_matched,1,l1,high_confidence_shared
B,493,274,0.9963503649635036,0.9963503649635036,0.9963503649635036,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
CD4 T,1929,1079,0.8956372968349017,0.9703429101019463,0.9314946619217082,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
CD8 T,653,236,0.8962264150943396,0.8050847457627118,0.8482142857142857,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
DC,165,151,0.9924812030075187,0.8741721854304636,0.9295774647887324,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
Mono,1340,1068,0.9580674567000912,0.9840823970037453,0.9709006928406466,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
NK,812,290,0.9166666666666666,0.9862068965517241,0.9501661129568106,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
other,219,185,0.7115384615384616,0.4,0.5121107266435986,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
other T,491,109,0.6593406593406593,0.5504587155963303,0.6,pbmc10k_to_pbmc5k,totalvi,1,l1,high_confidence_shared
B intermediate,66,68,0.49056603773584906,0.7647058823529411,0.5977011494252874,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
B memory,79,99,0.8545454545454545,0.47474747474747475,0.6103896103896104,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
B naive,128,315,0.9659442724458205,0.9904761904761905,0.9780564263322884,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD14 Mono,937,1237,0.9228441754916793,0.9862570735650767,0.9534974599452911,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD16 Mono,131,103,0.918918918918919,0.9902912621359223,0.9532710280373832,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD4 CTL,41,24,0.0,0.0,0.0,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD4 Naive,378,795,0.6695427092320967,0.9761006289308176,0.7942681678607983,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD4 TCM,327,580,0.75390625,0.6655172413793103,0.706959706959707,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD4 TEM,272,281,0.6398305084745762,0.5373665480427047,0.5841392649903289,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD8 Naive,48,320,0.9206349206349206,0.18125,0.3028720626631854,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD8 TCM,34,77,0.25,0.05194805194805195,0.08602150537634409,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
CD8 TEM,147,246,0.37479541734860883,0.9308943089430894,0.5344224037339557,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
Eryth,86,144,0.8791208791208791,0.5555555555555556,0.6808510638297872,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
ILC,98,65,0.5238095238095238,0.16923076923076924,0.2558139534883721,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
MAIT,24,356,0.0,0.0,0.0,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
NK,251,760,0.9793014230271668,0.9960526315789474,0.9876060013046314,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
NK_CD56bright,30,35,0.9285714285714286,0.37142857142857144,0.5306122448979592,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
Treg,59,241,0.415041782729805,0.6182572614107884,0.49666666666666665,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
cDC2,125,135,1.0,0.7037037037037037,0.8260869565217391,pbmc5k_to_pbmc10k,scvi_matched,1,l2,high_confidence_shared
