cell_type,batch,n_cells,proportion_within_batch,proportion_within_type,label_level
B,PBMC10k,510,0.07439824945295405,0.6390977443609023,l1
B,PBMC5k,288,0.07210816224336505,0.3609022556390977,l1
CD4 T,PBMC10k,2217,0.32341356673960614,0.6136174923885968,l1
CD4 T,PBMC5k,1396,0.34952428642964445,0.38638250761140325,l1
CD8 T,PBMC10k,760,0.11086797957695113,0.7251908396946565,l1
CD8 T,PBMC5k,288,0.07210816224336505,0.2748091603053435,l1
DC,PBMC10k,172,0.02509117432530999,0.5180722891566265,l1
DC,PBMC5k,160,0.04006009013520281,0.4819277108433735,l1
Mono,PBMC10k,1453,0.21196207148067103,0.5640527950310559,l1
Mono,PBMC5k,1123,0.2811717576364547,0.4359472049689441,l1
NK,PBMC10k,861,0.12560175054704595,0.734641638225256,l1
NK,PBMC5k,311,0.07786680020030046,0.26535836177474403,l1
other,PBMC10k,317,0.0462436177972283,0.5292153589315526,l1
other,PBMC5k,282,0.07060590886329494,0.4707846410684474,l1
other T,PBMC10k,565,0.0824215900802334,0.7946554149085795,l1
other T,PBMC5k,146,0.03655483224837256,0.20534458509142053,l1
